
   id asn_v4 asn_v6 country     status     
  723  29278      -   hu       Connected   
  724   1930   1930   pt       Connected   
  725   6830   6830   ie       Abandoned   
  726  39759      -   sm       Abandoned   
  727  15774      -   ru       Abandoned   
  728  13238  13238   ru       Abandoned   
  729      -      -   be       Abandoned   
  730   3333   3333   pl       Abandoned   
  731  42760  42760   ch       Connected   
  732  41073  41073   ie       Abandoned   
  733  15774      -   ru       Abandoned   
  734      -      -            Abandoned   
  735      -  35244   de       Abandoned   
  736  21175      -   fr       Abandoned   
  737  34087      -   no       Abandoned   
  738  39759      -   it       Abandoned   
  739  20900      -   fr       Abandoned   
  740      -      -   cz       Abandoned   
  741   5617      -   pl       Connected   
  742      -      -   bg       Abandoned   
  743      -      -   hu       Abandoned   
  744   8473   8473   se       Abandoned   
  745  15696  32098   ir       Abandoned   
  746  39935      -   cy       Connected   
  747  50348      -   cz       Connected   
  748  43751  43751   be       Abandoned   
  749      -      -            Abandoned   
  750  13101  13101   de       Abandoned   
  751   8728   8728   ee       Connected   
  752    174      -   gb     Disconnected  
  753  43950  43950   gb       Connected   
  754 203488 203488   cz       Abandoned   
  755   2116      -   no       Connected   
  756 196616      -   de       Connected   
  757      -      -   fr       Abandoned   
  758   2259   2200   fr       Abandoned   
  759  31644      -   se       Abandoned   
  760      -      -            Abandoned   
  761      -      -   gb       Connected   
  762      -      -   hu       Abandoned   
  763 203953 203953   dk       Connected   
  764   1955   1955   hu       Connected   
  765   8422   8422   de       Abandoned   
  766      -      -            Abandoned   
  767   9044   9044   ch       Connected   
  768      -      -   it       Abandoned   
  769  42009  42009   gb       Connected   
  770      -      -            Abandoned   
  771  51515      -   ru       Connected   
  772  25538      -   de     Disconnected  
  773      -      -   mk       Abandoned   
  774      -      -            Abandoned   
  775  50877      -   it     Disconnected  
  776   3292   3292   dk       Abandoned   
  777      -      -   at       Abandoned   
  778  20741      -   no       Connected   
  779  50458  50458   de       Abandoned   
  780  41495  41495   gb       Abandoned   
  781   3269      -   it       Connected   
  782      -      -   nl       Abandoned   
  783   6830   6830   ch       Abandoned   
  784  12816  12816   de     Disconnected  
  785  12322  12322   fr       Connected   
  786  44869  44869   dk       Abandoned   
  787  44514  44514   pl       Abandoned   
  788  41589      -   de     Disconnected  
  789  13101  13101   de       Connected   
  790   3215   3215   fr       Connected   
  791      -      -            Abandoned   
  792   1764      -   at       Abandoned   
  793      -      -   it       Abandoned   
  794      -      -   cz       Abandoned   
  795  24806      -   cz       Abandoned   
  796   1835   1835   dk       Connected   
  797  41164      -   no       Abandoned   
  798 203235      -   gb       Abandoned   
  799  30764  30764   cz       Abandoned   
  800  42628      -   be       Abandoned   
  801  40328      -   us       Connected   
  802   6871      -   gb       Connected   
  803  12353  12353   pt       Connected   
  804      -      -   de       Abandoned   
  805      -      -   es       Abandoned   
  806 205311 205311   gb     Disconnected  
  807   2119   2119   no       Connected   
  808   1739   1741   fi       Abandoned   
  809      -      -   gb    Never Connected
  810   6848   6848   be       Abandoned   
  811  12322  12322   fr       Abandoned   
  812  12502  12502   de       Abandoned   
  813  29355  29355   kz       Abandoned   
  814  41000  41000   gb       Connected   
  815   9790   9790   nz       Abandoned   
  816      -      -            Abandoned   
  817   8468      -   gb       Abandoned   
  818    786      -   gb       Connected   
  819      -      -   pt    Never Connected
  820  24956  24956   de       Abandoned   
  821  50558      -   ir       Abandoned   
  822  10094      -   bn       Connected   
  823   8879   8879   de       Connected   
  824  12322  12322   fr       Connected   
  825  20712  20712   gb       Connected   
  826   3213   3213   gb       Abandoned   
  827  51523      -   ru       Connected   
  828   6871      -   gb     Disconnected  
  829  30851      -   pl       Connected   
  830  43382  43382   fi       Abandoned   
  831  29017      -   gb       Abandoned   
  832 202613      -   it       Connected   
  833    719    719   fi     Disconnected  
  834   8648   8648   de       Abandoned   
  835   9150      -   nl       Abandoned   
  836  12322  12322   fr       Abandoned   
  837 204652      -   dk       Connected   
  838   8362      -   fr       Abandoned   
  839 202895      -   cz       Abandoned   
  840  12322      -   fr       Abandoned   
  841  31027      -   dk       Abandoned   
  842  29695      -   no       Connected   
  843  15764      -   gr       Abandoned   
